,Profile factor,Symmetry,Crossflow,Swirl Angle,Average flow velocity,Average speed of sound,Average Signal Strength,Meter performance,Average Turbulence,Average Signal Quality,Average Gain,Average Transit Time,Class Attruibute
41,1.276705556,1.091683333,1.086594444,1.739,6.368633333,1501.655444,4268.8303264999995,97.24444444,9.8215694465,97.156944445,59.56319444499999,101.24376090375,3
42,1.292644444,1.113844444,1.102544444,1.739,6.365777778,1501.576944,4270.783486249999,97.33333333,9.92270833375,97.263194445,59.608333332499996,101.24922687374999,3
43,1.296166667,1.096772222,1.089177778,1.956,3.432427778,1501.193611,4289.686903,97.90555556,9.883041666499999,97.82569444375,59.5,101.27510882000001,3
44,1.292188889,1.101433333,1.091744444,1.911,3.435033333,1501.155167,4286.559048625,97.98333333,10.201805557,97.84375,59.5,101.27785207125,3
45,1.283383333,1.096877778,1.087438889,1.761,3.435766667,1501.118056,4278.08402775,98.02222222,9.6709583315,97.93124999999999,59.5,101.28042985750001,3
46,1.315583333,1.104455556,1.099094444,1.967,3.432788889,1501.1125,4275.81128475,97.89444444,9.77474999825,97.83888888875,59.5,101.28095423749998,3
47,1.280094444,1.102083333,1.088833333,1.728,3.438761111,1501.129167,4275.642520875001,97.72777778,9.963305556249999,97.6402777775,59.5,101.27970695249999,3
48,1.291227778,1.095355556,1.086561111,1.9,3.438133333,1501.165778,4280.74953475,97.98333333,9.7077638885,97.9284722225,59.5,101.277184035,3
49,1.307094444,1.096577778,1.090722222,1.994,2.38695,1501.1865,4283.895125125,97.89444444,10.60950000075,97.81875000000001,59.5,101.27555332375002,3
50,1.290861111,1.095111111,1.081922222,1.806,2.390227778,1501.1775,4275.855687374999,98.19444444,10.385944443749999,98.106944445,59.5,101.27614493499999,3
51,1.285316667,1.089283333,1.085905556,1.8,4.217061111,1501.199389,4288.6408265,97.76111111,9.5662777785,97.6520833325,59.53333333250001,101.2750128625,3
52,1.283416667,1.094033333,1.087272222,1.833,5.298966667,1501.189333,4276.39890275,97.30555556,9.90577777625,97.22013888875,59.625,101.27566896625001,3
53,1.293994444,1.110888889,1.098283333,1.828,5.801277778,1501.257389,4265.92733325,97.47222222,9.9750694425,97.41111111125,59.625,101.270978195,3
54,1.2868,1.100666667,1.092511111,1.811,5.802661111,1501.1225,4269.731541624999,97.13888889,9.63429166775,97.07222222125,59.625,101.27992611625001,3
55,1.375172222,1.187527778,1.052705556,2.2,3.227816667,1523.378056,3426.685090899999,94.11666667,14.836527778,94.0375,75.28763888999998,99.87250708875001,3
56,1.271911111,1.064922222,0.868344444,2.09,3.216933333,1523.751389,3274.7235757125004,94.26111111,14.8160416665,94.14097222125001,75.35375,99.84834666625,3
57,1.04605,1.497855556,1.128044444,2.07,3.214244444,1524.102222,3579.5132384,94.65555556,13.33390277975,94.56319444375,75.11986111000002,99.82532714125,3
58,1.5761,1.152322222,1.048,1.76,3.2321,1519.238889,3952.1393790875,94.56666667,13.230750000499999,94.46180555625,72.963055555,100.09506373625001,3
59,1.214477778,1.172,1.032044444,0.572,4.034633333,1505.696056,4082.7001582875,94.82222222,10.3242361115,94.7597222225,64.075,100.9136172175,3
60,1.213616667,1.187472222,1.028405556,0.533,4.998972222,1505.761778,4170.998701375001,95.42222222,10.34925000075,95.36597222249999,63.875,100.90943507,3
61,1.216822222,1.178994444,1.031088889,0.667,5.570161111,1505.823111,4125.434743250001,96.4,10.40354166825,96.29027777875,63.77777777749999,100.90562992,3
62,1.220938889,1.150772222,1.042366667,0.794,6.183077778,1505.658889,4102.99154875,95.65,10.297555553750001,95.57083333375,63.56722222249999,100.9167275775,3
63,1.22315,1.148861111,1.045761111,0.9,6.193783333,1505.746167,4127.178916625,95.49444444,10.423652778000001,95.40486111125,63.55,100.91039861375,3
64,1.228538889,1.147172222,1.047438889,0.794,6.189288889,1505.5705,4167.57683325,94.83333333,10.488555555,94.76736111125001,63.55,100.92217029,3
65,1.229144444,1.153188889,1.053,0.856,6.199966667,1505.5595,4200.2897035,94.96666667,10.477930556,94.85625,63.55,100.92278943500001,3
66,1.232594444,1.152072222,1.053155556,0.988888889,6.202361111,1505.734444,4208.11695125,95.36666667,10.7544166665,95.28055555625,63.55,100.91029861125,3
67,1.2225,1.138366667,1.0425,0.733333333,6.684383333,1505.710333,4071.19670125,94.49444444,10.80250000225,94.39166666625,63.225,100.91160701625,3
