,Profile factor,Symmetry,Crossflow,Swirl Angle,Flow Velocity1,Speed of Sound1,Speed of Sound2,Speed of Sound3,Speed of Sound4,Average speed of sound,Signal Strength7,Turbulence1,Turbulence2,Turbulence3,Turbulence4,Signal Quality3,Signal Quality7,Class Attruibute
14,1.175838889,1.029305556,1.023955556,0.088888889,5.945616667,1484.280778,1486.788611,1485.778389,1485.406778,1485.563389,3912.294444,11.88216667,5.104111111,4.967055556,12.40338889,100.0,100.0,1
15,1.174027778,1.029555556,1.022827778,0.083333333,5.952816667,1484.138778,1486.645833,1485.634944,1485.268667,1485.422444,3916.35,11.68816667,5.087722222,4.983222222,12.45994444,100.0,100.0,1
16,1.173205556,1.029394444,1.023177778,0.044444444,5.960361111,1484.051833,1486.559222,1485.547778,1485.177667,1485.334056,3920.561111,11.30272222,4.990222222,5.091666667,12.69372222,100.0,100.0,1
17,1.174877778,1.029327778,1.022738889,0.061111111,6.453072222,1484.062889,1486.569444,1485.555667,1485.190889,1485.344444,3906.633333,11.50172222,5.0655,4.996888889,12.47522222,100.0,100.0,1
18,1.172383333,1.033272222,1.024777778,0.022222222,6.9669,1484.262056,1486.763444,1485.754444,1485.3865,1485.541389,3886.283333,12.15988889,5.219722222,5.064055556,13.18855556,100.0,100.0,1
19,1.420238889,0.961011111,0.957405556,1.29,2.252305556,1411.841889,1487.8695,1486.649667,1486.200889,1484.662056,4041.961111,40.40722222,9.801666667,6.747277778,9.252111111,98.55555556,100.0,2
20,1.2468,0.960172222,0.958061111,0.76,2.297955556,1406.897056,1488.044444,1486.726944,1486.264333,1483.505389,4037.733333,55.47433333,12.28383333,6.664388889,8.045611111,95.01666667,100.0,2
21,2.308333333,0.829016667,0.87925,0.95,2.087205556,1249.986278,1479.510222,1486.861111,1486.398056,1483.506,4031.627778,66.57038889,17.99872222,6.296388889,7.676222222,89.10555556,100.0,2
22,1.456162011,0.861194444,0.852755556,0.17,4.656094444,1351.213167,1480.941722,1479.193278,1367.909222,1479.4475,2484.316667,46.38927778,20.38438889,13.55105556,25.69177778,79.01111111,62.37777778,2
23,1.172066667,1.025833333,1.022111111,0.01,5.215533333,1489.0735,1491.877167,1490.688278,1490.250889,1490.4725,4274.977778,19.37555556,7.288611111,6.240722222,13.13572222,99.96111111,100.0,2
24,1.190827778,1.020316667,1.009038889,0.23,7.331794444,1475.976667,1482.050389,1480.534278,1475.426556,1478.497389,2500.822222,34.29161111,10.48511111,8.770333333,20.6025,97.58888889,97.06666667,2
25,1.184405556,1.023572222,1.01395,0.14,1.190488889,1489.546889,1491.489222,1490.323167,1489.859333,1490.304833,5144.661111,25.70744444,5.111444444,4.094388889,6.997611111,100.0,100.0,2
26,1.181927778,1.032433333,1.017605556,0.04,1.200544444,1489.3925,1491.315389,1490.143222,1489.679833,1490.132611,5142.566667,26.00577778,4.964111111,3.996944444,7.197111111,100.0,100.0,2
27,1.193094444,1.010088889,1.008488889,0.31,1.171861111,1486.386778,1488.419222,1487.252444,1486.7975,1487.213833,5149.755556,22.49694444,4.893555556,4.015333333,6.534,100.0,100.0,2
28,1.198183333,1.009983333,1.009344444,0.37,1.161388889,1485.880333,1487.952278,1486.792056,1486.334222,1486.740611,5152.9,28.14155556,5.031777778,3.924833333,6.936388889,100.0,100.0,2
29,1.211366667,1.016494444,1.014527778,0.54,1.190788889,1484.285389,1487.521889,1486.358556,1485.902167,1486.017111,5143.116667,45.0485,4.712333333,3.970944444,6.828777778,100.0,100.0,2
30,1.312211111,0.972661111,0.9499,0.48,1.078911111,1381.306222,1486.917722,1485.745333,1485.278722,1482.513722,5135.388889,57.31916667,5.445222222,4.552555556,7.259555556,100.0,100.0,2
31,1.136838889,0.940277778,0.914677778,1.54,1.028461111,1333.784056,1486.454611,1485.254278,1484.7795,1482.642056,5133.261111,60.86211111,7.6285,5.240944444,7.747222222,99.92777778,100.0,2
32,1.279861111,1.097538889,1.090877778,1.85,6.883377778,1484.179333,1486.658,1485.529556,1551.575056,1501.985333,756.1293,12.06316667,5.000222222,4.9425,15.69066667,100.0,81.73888889,3
33,1.287733333,1.11275,1.104638889,1.828,6.434161111,1484.147667,1486.625667,1485.498222,1551.5225,1501.948667,1019.278278,12.49883333,5.236055556,4.942444444,19.25866667,100.0,83.85555556,3
34,1.291644444,1.1046,1.096916667,1.906,5.889911111,1483.968778,1486.447944,1485.318278,1551.343833,1501.769778,1032.097167,12.10744444,5.053166667,4.990055556,17.64133333,100.0,85.31111111,3
35,1.282005556,1.099077778,1.089055556,1.789,5.9017,1483.904222,1486.383333,1485.253389,1551.253833,1501.698944,1035.529794,11.65572222,5.194888889,4.805166667,16.1355,100.0,85.6,3
36,1.280033333,1.102955556,1.094005556,1.733,5.926461111,1484.1265,1486.608056,1485.477944,1551.317944,1501.882611,1015.050961,11.53611111,5.1575,4.751,17.40683333,100.0,86.26111111,3
37,1.279061111,1.096305556,1.087266667,1.689,5.898233333,1484.026167,1486.505722,1485.378056,1551.198833,1501.776833,1064.986667,11.95783333,4.956111111,5.075277778,16.767,100.0,87.39444444,3
38,1.276705556,1.091683333,1.086594444,1.739,5.890927778,1483.895111,1486.372389,1485.242333,1551.112111,1501.655444,1035.086278,12.37205556,5.128444444,5.093222222,16.69255556,100.0,88.36666667,3
39,1.292644444,1.113844444,1.102544444,1.739,5.930811111,1483.804889,1486.283556,1485.153611,1551.066611,1501.576944,1051.421,12.09222222,5.209555556,5.029388889,17.35966667,100.0,88.76666667,3
40,1.296166667,1.096772222,1.089177778,1.956,3.163772222,1483.380333,1485.860611,1484.730722,1550.802833,1501.193611,1166.034556,10.23933333,4.787333333,4.563833333,19.94166667,100.0,91.12222222,3
41,1.292188889,1.101433333,1.091744444,1.911,3.182811111,1483.333,1485.813444,1484.684556,1550.788889,1501.155167,1148.408667,10.08416667,4.700222222,4.691555556,21.33127778,100.0,91.14444444,3
42,1.283383333,1.096877778,1.087438889,1.761,3.185466667,1483.290389,1485.772056,1484.642278,1550.767667,1501.118056,1114.946389,10.33283333,4.6045,4.766555556,18.97994444,100.0,91.42222222,3
43,1.315583333,1.104455556,1.099094444,1.967,3.156983333,1483.279,1485.756611,1484.628778,1550.784722,1501.1125,1105.7035,10.37544444,4.656388889,4.583944444,19.48322222,100.0,91.01111111,3
44,1.280094444,1.102083333,1.088833333,1.728,3.204833333,1483.302111,1485.781556,1484.651667,1550.781444,1501.129167,1117.527333,10.28305556,4.926333333,4.694222222,19.94961111,100.0,90.37222222,3
45,1.291227778,1.095355556,1.086561111,1.9,3.171244444,1483.341889,1485.823611,1484.692611,1550.802833,1501.165778,1152.652556,10.0745,4.739944444,4.63,19.38661111,100.0,91.43888889,3
46,1.307094444,1.096577778,1.090722222,1.994,2.184272222,1483.364667,1485.847778,1484.715278,1550.8175,1501.1865,1181.680056,9.249666667,4.553944444,4.309722222,24.32466667,100.0,91.13333333,3
47,1.290861111,1.095111111,1.081922222,1.806,2.194433333,1483.357833,1485.839833,1484.708778,1550.804167,1501.1775,1163.0645,8.729722222,4.437055556,4.442166667,23.93483333,100.0,92.26666667,3
48,1.285316667,1.089283333,1.085905556,1.8,3.885088889,1483.376222,1485.856278,1484.726667,1550.838056,1501.199389,1135.101056,10.85972222,4.822277778,4.712555556,17.87055556,100.0,90.34444444,3
49,1.283416667,1.094033333,1.087272222,1.833,4.897144444,1483.385111,1485.863556,1484.731778,1550.776389,1501.189333,1058.419556,12.20811111,5.032722222,5.199333333,17.18294444,100.0,88.46666667,3
50,1.293994444,1.110888889,1.098283333,1.828,5.397344444,1483.464889,1485.944889,1484.8155,1550.805833,1501.257389,1034.053278,11.72133333,4.921333333,4.935166667,18.32244444,100.0,89.08333333,3
51,1.2868,1.100666667,1.092511111,1.811,5.377255556,1483.340667,1485.818944,1484.6885,1550.641611,1501.1225,1049.6075,11.549,5.059166667,4.909444444,17.01955556,100.0,87.63333333,3
52,1.375172222,1.187527778,1.052705556,2.2,2.969761111,1541.515889,1498.550389,1502.126389,1551.32,1523.378056,562.6939111,12.49733333,4.774277778,5.686944444,36.38755556,100.0,73.63888889,3
53,1.271911111,1.064922222,0.868344444,2.09,2.915638889,1542.248556,1498.846778,1502.5275,1551.382944,1523.751389,640.3673056,12.97138889,5.062277778,5.667777778,35.56272222,100.0,73.86666667,3
54,1.5761,1.152322222,1.048,1.76,2.979433333,1525.045833,1499.010167,1502.237833,1550.663111,1519.238889,785.8177389,12.04416667,5.058388889,5.759333333,30.06111111,100.0,75.52222222,3
55,1.214477778,1.172,1.032044444,0.572,3.924827778,1483.856833,1486.375389,1502.266389,1550.286556,1505.696056,934.8723333,10.38677778,4.743888889,5.695666667,20.47061111,100.0,77.22222222,3
56,1.213616667,1.187472222,1.028405556,0.533,4.870161111,1483.988056,1486.503222,1502.250778,1550.305389,1505.761778,1026.973611,11.09905556,4.965388889,5.801944444,19.53061111,100.0,79.52777778,3
57,1.216822222,1.178994444,1.031088889,0.667,5.405238889,1484.099556,1486.613,1502.225667,1550.354611,1505.823111,1072.656,11.15705556,4.753722222,5.565611111,20.13777778,100.0,83.26666667,3
58,1.220938889,1.150772222,1.042366667,0.794,5.941555556,1483.903167,1486.4105,1502.121889,1550.200833,1505.658889,1083.110556,11.77683333,4.825666667,5.546277778,19.04144444,100.0,79.48888889,3
59,1.22315,1.148861111,1.045761111,0.9,5.943827778,1484.061111,1486.571667,1502.1875,1550.165667,1505.746167,1099.104056,12.24633333,5.080444444,5.628277778,18.73955556,100.0,78.75,3
60,1.228538889,1.147172222,1.047438889,0.794,5.937027778,1483.858333,1486.364778,1502.063222,1549.995389,1505.5705,1125.290389,12.3875,5.005166667,5.702333333,18.85922222,100.0,75.65555556,3
61,1.229144444,1.153188889,1.053,0.856,5.954311111,1483.837833,1486.346667,1502.072278,1549.981222,1505.5595,1174.45635,12.32983333,4.954666667,5.573666667,19.05355556,100.0,74.79444444,3
62,1.232594444,1.152072222,1.053155556,0.988888889,5.939233333,1484.056611,1486.565944,1502.280111,1550.034333,1505.734444,1145.3155,12.26188889,5.090555556,5.516,20.14922222,100.0,77.85555556,3
63,1.2225,1.138366667,1.0425,0.733333333,6.386061111,1484.069111,1486.577667,1502.317111,1549.877833,1505.710333,1261.806333,12.29055556,5.113722222,5.588666667,20.21705556,100.0,72.93333333,3
64,1.174856287,0.8688382352823528,0.8536700653882354,0.7693728104470589,3.107061111,1438.669,1514.623889,1517.042389,1261.3363306941178,1526.604333,2108.753007868236,39.393,7.016555556,7.226777778,14.15518692825883,90.36666667,0.111111111,3
65,1.22119883,0.8688382352823528,0.8536700653882354,0.7693728104470589,2.267005556,1473.216389,1514.580889,1516.976389,1261.3363306941178,1526.854111,2108.753007868236,38.75733333,6.753444444,6.876,14.15518692825883,90.45555556,0.072222222,3
66,1.848737143,0.8688382352823528,0.8536700653882354,0.7693728104470589,2.327466667,1507.758611,1514.6885,1517.054778,1261.3363306941178,1527.202833,2108.753007868236,40.80311111,6.518444444,7.595833333,14.15518692825883,88.96111111,0.066666667,3
67,2.326091954,0.8688382352823528,0.8536700653882354,0.7693728104470589,3.002233333,1498.998833,1514.725389,1517.063833,1261.3363306941178,1527.105889,2108.753007868236,33.16494444,6.479833333,7.023444444,14.15518692825883,91.87777778,75.04191933675297,3
68,2.391191011,0.8688382352823528,0.8536700653882354,0.7693728104470589,2.99545,1533.350222,1514.608111,1516.927333,1261.3363306941178,1527.242722,2108.753007868236,34.108,6.722277778,7.731222222,14.15518692825883,91.69444444,0.066666667,3
69,2.402433333,0.8688382352823528,0.8536700653882354,0.7693728104470589,4.378755556,1550.926056,1514.776833,1516.959833,1261.3363306941178,1527.554111,2108.753007868236,23.90261111,6.207666667,6.350777778,14.15518692825883,92.27222222,75.04191933675297,3
70,2.528122222,0.8688382352823528,0.8536700653882354,0.7693728104470589,4.757427778,1550.966889,1514.759444,1516.902056,1261.3363306941178,1527.543,2108.753007868236,24.436,6.136722222,6.356055556,14.15518692825883,90.79444444,0.038888889,3
71,2.792661111,0.8688382352823528,0.8536700653882354,0.7693728104470589,5.372844444,1550.682889,1514.838611,1516.942389,1261.3363306941178,1527.488222,2108.753007868236,23.40011111,5.895,6.429222222,14.15518692825883,89.9,0.144444444,3
72,2.418111111,0.8688382352823528,0.8536700653882354,0.7693728104470589,5.3323,1550.598167,1514.837722,1516.918111,1261.3363306941178,1527.452111,2108.753007868236,23.87866667,5.989722222,6.529555556,14.15518692825883,91.17222222,0.211111111,3
73,3.290424581,0.8688382352823528,0.8536700653882354,0.7693728104470589,5.420572222,1542.063444,1514.835889,1516.951389,1261.3363306941178,1527.424278,2108.753007868236,24.40983333,6.758722222,6.662388889,14.15518692825883,90.62222222,0.183333333,3
74,2.601044444,0.8688382352823528,0.8536700653882354,0.7693728104470589,5.256955556,1550.688444,1514.864944,1516.983444,1261.3363306941178,1527.512111,2108.753007868236,24.10805556,5.833666667,6.123833333,14.15518692825883,90.91111111,0.066666667,3
75,2.3368,0.8688382352823528,0.8536700653882354,0.7693728104470589,5.222705556,1550.800889,1514.913278,1517.048222,1261.3363306941178,1527.587444,2108.753007868236,23.60566667,5.832222222,6.386055556,14.15518692825883,91.51666667,0.072222222,3
